GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1132013578,20231009,202310,2023,2023.7644,CVL,CITIZEN,,,,,,CVL,,,POL,POLAND,POL,,,,,,,,0,043,043,04,1,2.8,10,1,10,-5.34069981583794,4,"Warsaw, (PL67), Poland",PL,PL67,24452,52.25,21.0,-534433,4,"Warsaw, (PL67), Poland",PL,PL67,24452,52.25,21.0,-534433,4,"Warsaw, (PL67), Poland",PL,PL67,24452,52.25,21.0,-534433,20231009120000,https://www.tagesschau.de/ausland/asien/gaza-israel-angriff-116.html
1131983691,20231009,202310,2023,2023.7644,,,,,,,,,,,CRM,THIEVES,,,,,,CRM,,,1,051,051,05,1,3.4,10,1,10,-7.00808625336927,0,,,,,,,,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20231009093000,https://www.tagesschau.de/investigativ/ndr-wdr/drogenhandel-organisierte-kriminalitaet-100.html
1132074999,20231009,202310,2023,2023.7644,CHN,BEIJING,CHN,,,,,,,,,,,,,,,,,,1,173,173,17,4,-5.0,6,1,6,-1.70068027210885,1,Germany,GM,GM,,51.5,10.5,GM,0,,,,,,,,1,Germany,GM,GM,,51.5,10.5,GM,20231009164500,https://www.tagesschau.de/ausland/asien/china-nakostkonflikt-100.html
1132075923,20231009,202310,2023,2023.7644,UKR,UKRAINIAN,UKR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,012,012,01,1,-0.4,10,1,10,-5.23560209424083,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,20231009164500,https://www.tagesschau.de/ausland/europa/ukraine-israel-100.html
1132013618,20231009,202310,2023,2023.7644,DEU,GERMAN,DEU,,,,,,,,POL,POLISH,POL,,,,,,,,1,120,120,12,3,-4.0,10,1,10,-1.99733688415446,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20231009120000,https://www.tagesschau.de/investigativ/nord-stream-anschlaege-104.html
1132075938,20231009,202310,2023,2023.7644,UKRMED,UKRAINIAN,UKR,,,,,MED,,,,,,,,,,,,,0,040,040,04,1,1.0,6,1,6,-5.23560209424083,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,0,,,,,,,,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,20231009164500,https://www.tagesschau.de/ausland/europa/ukraine-israel-100.html
1132013892,20231009,202310,2023,2023.7644,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,,,,,,,,,,,0,030,030,03,1,4.0,10,1,10,-3.18772136953955,4,"Herat, Herat, Afghanistan",AF,AF11,3562,34.3482,62.1997,-3377359,0,,,,,,,,4,"Herat, Herat, Afghanistan",AF,AF11,3562,34.3482,62.1997,-3377359,20231009120000,https://www.tagesschau.de/ausland/asien/afghanistan-erdbeben-montag-100.html
1132075664,20231009,202310,2023,2023.7644,OPP,PROTESTER,,,,,,OPP,,,,,,,,,,,,,1,020,020,02,1,3.0,10,1,10,-4.14746543778802,1,Germany,GM,GM,,51.5,10.5,GM,0,,,,,,,,1,Germany,GM,GM,,51.5,10.5,GM,20231009164500,https://www.tagesschau.de/inland/gesellschaft/finanzhilfe-palaestinenser-ausgesetzt-100.html
1132101652,20231009,202310,2023,2023.7644,TUR,TURKEY,TUR,,,,,,,,PSE,PALESTINIAN,PSE,,,,,,,,1,051,051,05,1,3.4,2,1,2,-4.21686746987951,1,Turkey,TU,TU,,39.059012,34.911546,TU,1,Turkey,TU,TU,,39.059012,34.911546,TU,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,20231009190000,https://www.tagesschau.de/ausland/europa/tuerkei-israel-hamas-angriff-erdogan-100.html
1131984357,20231009,202310,2023,2023.7644,MDV,MALE,MDV,,,,,,,,,,,,,,,,,,1,111,111,11,3,-2.0,10,1,10,-7.14285714285714,4,"Koblenz, Rheinland-Pfalz, Germany",GM,GM08,16554,50.35,7.6,-1809855,0,,,,,,,,4,"Koblenz, Rheinland-Pfalz, Germany",GM,GM08,16554,50.35,7.6,-1809855,20231009093000,https://www.tagesschau.de/inland/regional/rheinlandpfalz/swr-anschlag-auf-asylbewerberheim-1991-urteil-erwartet-100.html
1131984440,20231009,202310,2023,2023.7644,OPP,DISSIDENT,,,,,,OPP,,,COLREBELI,FARC,COL,,,,,REB,ELI,,1,120,120,12,3,-4.0,10,1,10,-1.44508670520231,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20231009093000,https://www.tagesschau.de/ausland/amerika/kolumbien-farc-112.html
